date,world,name,has_estate
"document.getElementById('datetime-0.401752472315042').innerHTML = ldst_strftime(1517845504, 'YMD');",Fenrir,Conscience Bandit,No Estate or Plot
"document.getElementById('datetime-0.840994076894091').innerHTML = ldst_strftime(1517844045, 'YMD');",Fenrir,Drop of Influence,No Estate or Plot
"document.getElementById('datetime-0.650622817634851').innerHTML = ldst_strftime(1517843556, 'YMD');",Tiamat,Stella Matutina,No Estate or Plot
"document.getElementById('datetime-0.870574788377233').innerHTML = ldst_strftime(1517843037, 'YMD');",Valefor,PhNWCl,No Estate or Plot
"document.getElementById('datetime-0.494544319132249').innerHTML = ldst_strftime(1517842853, 'YMD');",Tiamat,SlvCubtYrH,No Estate or Plot
"document.getElementById('datetime-0.617841939472385').innerHTML = ldst_strftime(1517838594, 'YMD');",Ridill,Utricularia,Estate Built
"document.getElementById('datetime-0.689108323693613').innerHTML = ldst_strftime(1517836376, 'YMD');",Ultima,WHjwPmq,No Estate or Plot
"document.getElementById('datetime-0.339393919169005').innerHTML = ldst_strftime(1517835714, 'YMD');",Ultima,ABufEZXVKOTQtpn,No Estate or Plot
"document.getElementById('datetime-0.860530276859254').innerHTML = ldst_strftime(1517834619, 'YMD');",Ifrit,rJUaKEx,No Estate or Plot
"document.getElementById('datetime-0.144965015342486').innerHTML = ldst_strftime(1517864136, 'YMD');",Omega,For The Win,No Estate or Plot
"document.getElementById('datetime-0.694340136382408').innerHTML = ldst_strftime(1517843511, 'YMD');",Mandragora,Stardust Symphony,No Estate or Plot
"document.getElementById('datetime-0.557017906016959').innerHTML = ldst_strftime(1517849401, 'YMD');",Ramuh,MagMell,No Estate or Plot
"document.getElementById('datetime-0.289335492367382').innerHTML = ldst_strftime(1517862858, 'YMD');",Ultros,Aleph Tav,No Estate or Plot
"document.getElementById('datetime-0.675508940468333').innerHTML = ldst_strftime(1517833894, 'YMD');",Tiamat,ZzwzGgf,No Estate or Plot
"document.getElementById('datetime-0.983494813759588').innerHTML = ldst_strftime(1517831678, 'YMD');",Zeromus,milk&chocolate,No Estate or Plot
"document.getElementById('datetime-0.815821635007914').innerHTML = ldst_strftime(1517826035, 'YMD');",Ridill,ddodQbK,No Estate or Plot
"document.getElementById('datetime-0.134404646979309').innerHTML = ldst_strftime(1517825773, 'YMD');",Bahamut,L'obscurite,No Estate or Plot
"document.getElementById('datetime-0.581585911024234').innerHTML = ldst_strftime(1517824918, 'YMD');",Fenrir,Xzp,No Estate or Plot
"document.getElementById('datetime-0.956978736300709').innerHTML = ldst_strftime(1517824751, 'YMD');",Alexander,nRHCagx,No Estate or Plot
"document.getElementById('datetime-0.434450701112219').innerHTML = ldst_strftime(1517823889, 'YMD');",Fenrir,zmBZYLq,No Estate or Plot
"document.getElementById('datetime-0.217885885110224').innerHTML = ldst_strftime(1517822143, 'YMD');",Yojimbo,UncF,No Estate or Plot
"document.getElementById('datetime-0.924801862387866').innerHTML = ldst_strftime(1517821746, 'YMD');",Tiamat,PiiyBqS,No Estate or Plot
"document.getElementById('datetime-0.187203103475486').innerHTML = ldst_strftime(1517862598, 'YMD');",Shiva,KupoKupo,No Estate or Plot
"document.getElementById('datetime-0.0985929899857894').innerHTML = ldst_strftime(1517862130, 'YMD');",Omega,weak but pretty,No Estate or Plot
"document.getElementById('datetime-0.381421877486954').innerHTML = ldst_strftime(1517861260, 'YMD');",Phoenix,Huxtable,No Estate or Plot
"document.getElementById('datetime-0.675284866728752').innerHTML = ldst_strftime(1517859767, 'YMD');",Lich,Karakallion Lidl,No Estate or Plot
"document.getElementById('datetime-0.599093457687058').innerHTML = ldst_strftime(1517843472, 'YMD');",Anima,BvNWxxAlW,No Estate or Plot
"document.getElementById('datetime-0.882470166028732').innerHTML = ldst_strftime(1517843433, 'YMD');",Masamune,EdMEBXm,No Estate or Plot
"document.getElementById('datetime-0.0335082732625729').innerHTML = ldst_strftime(1517840680, 'YMD');",Ixion,Flyaway,No Estate or Plot
"document.getElementById('datetime-0.740355412204323').innerHTML = ldst_strftime(1517835621, 'YMD');",Pandaemonium,RaDUXQj,No Estate or Plot
"document.getElementById('datetime-0.162939051330479').innerHTML = ldst_strftime(1517831514, 'YMD');",Masamune,BIsFfsWqJcbAK,No Estate or Plot
"document.getElementById('datetime-0.625162666420827').innerHTML = ldst_strftime(1517831258, 'YMD');",Titan,JgNFcFI,No Estate or Plot
"document.getElementById('datetime-0.266165676376122').innerHTML = ldst_strftime(1517848729, 'YMD');",Unicorn,White Park,No Estate or Plot
"document.getElementById('datetime-0.827238193673793').innerHTML = ldst_strftime(1517846656, 'YMD');",Garuda,Aincrad,No Estate or Plot
"document.getElementById('datetime-0.957325741202833').innerHTML = ldst_strftime(1517845526, 'YMD');",Aegis,magic flute,No Estate or Plot
"document.getElementById('datetime-0.700250008996115').innerHTML = ldst_strftime(1517844012, 'YMD');",Kujata,BcmegCHmHWMk,No Estate or Plot
"document.getElementById('datetime-0.715414233219224').innerHTML = ldst_strftime(1517841609, 'YMD');",Typhon,XchuvPZNZYCfbcmYOiW,No Estate or Plot
"document.getElementById('datetime-0.476972122019802').innerHTML = ldst_strftime(1517833336, 'YMD');",Atomos,KLofCHUpu,No Estate or Plot
"document.getElementById('datetime-0.821420832912885').innerHTML = ldst_strftime(1517858905, 'YMD');",Diabolos,New Game Plus,No Estate or Plot
"document.getElementById('datetime-0.320510188036611').innerHTML = ldst_strftime(1517847117, 'YMD');",Excalibur,Shields of Eorzea,No Estate or Plot
"document.getElementById('datetime-0.762744178763526').innerHTML = ldst_strftime(1517846212, 'YMD');",Hyperion,YVEZBa,No Estate or Plot
"document.getElementById('datetime-0.773387333057993').innerHTML = ldst_strftime(1517846053, 'YMD');",Diabolos,dzWFLQp,No Estate or Plot
"document.getElementById('datetime-0.682177120545752').innerHTML = ldst_strftime(1517841363, 'YMD');",Malboro,TCODEzZfk,No Estate or Plot
"document.getElementById('datetime-0.936870907627739').innerHTML = ldst_strftime(1517839740, 'YMD');",Leviathan,ojDbBMi,No Estate or Plot
"document.getElementById('datetime-0.372708363075812').innerHTML = ldst_strftime(1517821091, 'YMD');",Ifrit,xerMoiC,No Estate or Plot
"document.getElementById('datetime-0.0189588247453329').innerHTML = ldst_strftime(1517815031, 'YMD');",Ultima,Amorphous Zone,Plot Only
"document.getElementById('datetime-0.332812259314128').innerHTML = ldst_strftime(1517811435, 'YMD');",Ifrit,FIKA,No Estate or Plot
"document.getElementById('datetime-0.00542725458501536').innerHTML = ldst_strftime(1517809218, 'YMD');",Zeromus,Soul crazy,No Estate or Plot
"document.getElementById('datetime-0.894260059638935').innerHTML = ldst_strftime(1517801911, 'YMD');",Yojimbo,Venus,No Estate or Plot
"document.getElementById('datetime-0.606429042497304').innerHTML = ldst_strftime(1517801534, 'YMD');",Yojimbo,WusunAk,No Estate or Plot
"document.getElementById('datetime-0.0478246190458442').innerHTML = ldst_strftime(1517794759, 'YMD');",Alexander,stqjUpc,No Estate or Plot
"document.getElementById('datetime-0.108090476556882').innerHTML = ldst_strftime(1517788326, 'YMD');",Zeromus,TjClZBjeqOSBVa,No Estate or Plot
"document.getElementById('datetime-0.724514407761827').innerHTML = ldst_strftime(1517784961, 'YMD');",Ridill,iqHHaOb,No Estate or Plot
"document.getElementById('datetime-0.196628661476545').innerHTML = ldst_strftime(1517783265, 'YMD');",Ultima,Xrenebt,No Estate or Plot
"document.getElementById('datetime-0.814416964600721').innerHTML = ldst_strftime(1517859022, 'YMD');",Gilgamesh,Crushing Crush,No Estate or Plot
"document.getElementById('datetime-0.169639847230318').innerHTML = ldst_strftime(1517859469, 'YMD');",Louisoix,Heartstone Failure,No Estate or Plot
